method,nfe_x,nfe_t,doe_build_time,doe_init_time,doe_solve_time,doe_wall_time,ipopt_iters,obj_eval,grad_eval,eq_con_eval,eq_jac_eval,hess_eval,ipopt_cpu_wo_feval,ipopt_cpu_nlp_feval,ipopt_exit
central,10,20,0.2015692499699071,0.19721104193013161,1.1434128284454346,1.545063278870657,25.0,28.0,26.0,28.0,26.0,25.0,0.99,0.001,Optimal Solution Found.
central,25,40,0.7965540420264006,0.9660442090826109,9.465343952178955,11.23486857721582,33.0,41.0,34.0,41.0,34.0,33.0,8.785,0.007,Optimal Solution Found.
central,2,2,0.06953650002833456,0.024902959004975855,0.03984427452087402,0.13428373355418444,14.0,15.0,15.0,15.0,15.0,14.0,0.017,0.0,Optimal Solution Found.
central,50,75,3.7738761249929667,3.8362796250730753,53.123327016830444,60.691061766818166,40.0,41.0,41.0,41.0,41.0,40.0,49.287,0.028,Optimal Solution Found.
central,5,10,0.10457712493371218,0.06645708298310637,0.2781240940093994,0.449218156398274,21.0,25.0,22.0,25.0,22.0,21.0,0.219,0.0,Optimal Solution Found.
symbolic,10,20,0.3999455829616636,0.20002033398486674,1.1799700260162354,1.7829949849983677,25.0,28.0,26.0,28.0,26.0,25.0,1.032,0.001,Optimal Solution Found.
symbolic,25,40,5.7019825829193,0.9707741250749677,9.610687017440796,16.254280934343114,33.0,41.0,34.0,41.0,34.0,33.0,8.913,0.007,Optimal Solution Found.
symbolic,2,2,0.06535504199564457,0.022911833017133176,0.0389251708984375,0.12719204591121525,14.0,15.0,15.0,15.0,15.0,14.0,0.018,0.0,Optimal Solution Found.
symbolic,50,75,101.433560833917,3.809965334017761,53.07908296585083,158.32398250780534,40.0,41.0,41.0,41.0,41.0,40.0,49.704,0.028,Optimal Solution Found.
symbolic,5,10,0.12356687500141561,0.06274054106324911,0.2743690013885498,0.4606764174532145,21.0,25.0,22.0,25.0,22.0,21.0,0.224,0.0,Optimal Solution Found.
