case_folder,method,nfe_x,nfe_t,doe_build_time,doe_init_time,doe_solve_time,doe_wall_time,ipopt_iters,obj_eval,grad_eval,eq_con_eval,eq_jac_eval,hess_eval,ipopt_cpu_wo_feval,ipopt_cpu_nlp_feval,ipopt_exit,doe_build_time_ratio,doe_init_time_ratio,doe_solve_time_ratio,doe_wall_time_ratio,ipopt_iters_ratio,obj_eval_ratio,grad_eval_ratio,eq_con_eval_ratio,eq_jac_eval_ratio,hess_eval_ratio,ipopt_cpu_wo_feval_ratio,ipopt_cpu_nlp_feval_ratio,ipopt_exit_ratio
case_1_nfe_x2_nfe_t2,Central,2,2,0.06599120801547542,0.023854541999753565,0.028884499974083155,0.11873024998931214,7,8,8,8,8,7,0.008,0.0,Optimal Solution Found.,0.49827786142328484,0.7507846942297258,0.8360957610363853,0.6311937439590835,1.0,1.0,1.0,1.0,1.0,1.0,0.875,,
case_1_nfe_x2_nfe_t2,Symbolic,2,2,0.032881958002690226,0.017909625021275133,0.024150207987986505,0.07494179101195186,7,8,8,8,8,7,0.007,0.0,Optimal Solution Found.,0.49827786142328484,0.7507846942297258,0.8360957610363853,0.6311937439590835,1.0,1.0,1.0,1.0,1.0,1.0,0.875,,
case_2_nfe_x5_nfe_t10,Central,5,10,0.10000737500377,0.06612937501631677,0.17387833300745115,0.3400150830275379,15,16,16,16,16,15,0.131,0.0,Optimal Solution Found.,1.4428869267679747,0.6411888209124722,0.9958706815637282,1.0583680016920394,1.0666666666666667,1.0625,1.0625,1.0625,1.0625,1.0666666666666667,0.9923664122137404,,
case_2_nfe_x5_nfe_t10,Symbolic,5,10,0.14429933397332206,0.042401415994390845,0.17316033400129527,0.3598610839690082,16,17,17,17,17,16,0.13,0.0,Optimal Solution Found.,1.4428869267679747,0.6411888209124722,0.9958706815637282,1.0583680016920394,1.0666666666666667,1.0625,1.0625,1.0625,1.0625,1.0666666666666667,0.9923664122137404,,
case_3_nfe_x10_nfe_t20,Central,10,20,0.1972940830164589,0.19588654197286814,0.7355870000319555,1.1287676250212826,19,20,20,20,20,19,0.615,0.001,Optimal Solution Found.,6.656235057351402,1.0264657847079774,1.1443295735098358,2.087285753773801,0.9473684210526315,0.95,0.95,0.95,0.95,0.9473684210526315,1.1268292682926828,1.0,
case_3_nfe_x10_nfe_t20,Symbolic,10,20,1.3132357919821516,0.20107083301991224,0.8417539580259472,2.356060583028011,18,19,19,19,19,18,0.693,0.001,Optimal Solution Found.,6.656235057351402,1.0264657847079774,1.1443295735098358,2.087285753773801,0.9473684210526315,0.95,0.95,0.95,0.95,0.9473684210526315,1.1268292682926828,1.0,
case_4_nfe_x25_nfe_t40,Central,25,40,0.8281406249734573,0.9619766669929959,8.265135708032176,10.055252999998629,24,26,25,26,25,24,7.627,0.005,Optimal Solution Found.,37.08309352775993,2.2328981031302177,1.6722721789737338,4.642306725151859,1.2083333333333333,1.4615384615384615,1.2,1.4615384615384615,1.2,1.2083333333333333,1.4855119968532844,1.4,
case_4_nfe_x25_nfe_t40,Symbolic,25,40,30.710016250028275,2.14799587498419,13.821556499984581,46.679568624997046,29,38,30,38,30,29,11.33,0.007,Optimal Solution Found.,37.08309352775993,2.2328981031302177,1.6722721789737338,4.642306725151859,1.2083333333333333,1.4615384615384615,1.2,1.4615384615384615,1.2,1.2083333333333333,1.4855119968532844,1.4,
case_5_nfe_x50_nfe_t75,Central,50,75,3.772261916019488,3.9128546249703504,57.142720167001244,64.82783670799108,23,24,24,24,24,23,54.174,0.017,Optimal Solution Found.,539.2755497223321,11.50203957560368,1.3454045163990418,33.2600100588309,1.6521739130434783,1.625,1.625,1.625,1.625,1.6521739130434783,0.7869642263816592,1.764705882352941,
case_5_nfe_x50_nfe_t75,Symbolic,50,75,2034.2886184580275,45.005808749992866,76.88007379201008,2156.1745010000304,38,39,39,39,39,38,42.633,0.03,Optimal Solution Found.,539.2755497223321,11.50203957560368,1.3454045163990418,33.2600100588309,1.6521739130434783,1.625,1.625,1.625,1.625,1.6521739130434783,0.7869642263816592,1.764705882352941,
